School_code#School_name#development_region#Eco_Belt#Zone#District#VDC#Address#Ward_No#Locality#ECD#PRIMARY#LSEC#SEC#HSEC
10130001#Adarsha Ma Vi#Eastern#Mountain#Mechi#Taplejung#Khejenim#Mamankhe#3#Urban#Community_Managed#Community_Managed#Community_aided#Community_Teacher_aided#
10130002#Himali Ratna Nawa Jyoti Pra V#Eastern#Mountain#Mechi#Taplejung#Khejenim#Serap#2#Urban#Community_aided#Community_aided###
10130003#Khejenim Ni Ni Ma V#Eastern#Mountain#Mechi#Taplejung#Khejenim#Gadhidanda#8#Urban#Community_aided#Community_aided#Community_Teacher_aided##
10130004#Tulashi Pra V#Eastern#Mountain#Mechi#Taplejung#Khejenim#Tole#5#Urban#Community_aided#Community_aided###
10130005#Sibu Pra V#Eastern#Mountain#Mechi#Taplejung#Khejenim#Shibu#1#Urban##Community_aided###
10130006#Manakamana Pra V#Eastern#Mountain#Mechi#Taplejung#Khejenim#Sungja#3#Urban#Community_Teacher_aided#Community_Teacher_aided###
10130007#Chawakhu Pra V#Eastern#Mountain#Mechi#Taplejung#Khejenim#Chawakhu#9#Urban#Community_Teacher_aided#Community_Teacher_aided###
10140001#Ganesh Uchha Ma V#Eastern#Mountain#Mechi#Taplejung#Khewang#Sangadin#4#Urban##Community_Managed#Community_Managed#Community_Managed#Community_Teacher_aided
10140002#Mahendra Ni Ma Vi#Eastern#Mountain#Mechi#Taplejung#Khewang#Tyanphu#2#Urban#Community_Managed#Community_Managed#Community_Unaided##
10140003#Pancha Kanya Pra V#Eastern#Mountain#Mechi#Taplejung#Khewang#Lungthung#2#Urban#Community_aided#Community_aided###
10140004#Pathibhara Mahadev Pra V#Eastern#Mountain#Mechi#Taplejung#Khewang#Jungedanda#9#Urban#Community_aided#Community_aided###
10140005#Shitala Devi Pra V#Eastern#Mountain#Mechi#Taplejung#Khewang#Khewang#6#Rural#Community_Managed#Community_Managed###
10140006#Jal Kanya Pra V#Eastern#Mountain#Mechi#Taplejung#Khewang#Tumankhe#1#Urban##Community_Teacher_aided###
