School_code,School_name,development_region,Eco_Belt,Zone,District,VDC,Address,Ward_No,Locality,ECD,PRIMARY,LSEC,SEC,HSEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40030016,Bhanu Uchha Ma V,Eastern,Terai,Mechi,Jhapa,Bahundangi,Bhrikuti,4,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40030019,Oceanic Nirwan Ebs,Eastern,Terai,Mechi,Jhapa,Bahundangi,Bahadurgung,6,Rural,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40030041,Dokandanda Ebs,Eastern,Terai,Mechi,Jhapa,Bahundangi,Dokandanda,3,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40030042,Thesis International Ebs,Eastern,Terai,Mechi,Jhapa,Bahundangi,Badakhal,3,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40030043,Oxford Model Ebs,Eastern,Terai,Mechi,Jhapa,Bahundangi,Telpani,5,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40050006,Janaki Ma V,Eastern,Terai,Mechi,Jhapa,Balubari,Balubari,1,Urban,Community_Managed,Community_Managed,Community_Managed,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40060003,Laxmi Uchha Uchha Ma V,Eastern,Terai,Mechi,Jhapa,Baniyani,Bazar,8,Rural,Community_aided,Community_aided,Community_aided,Community_aided,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40070003,Sishu Niketan Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Chowk,14,Rural,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40070004,Bhadrapur Uchha Ma V,Eastern,Terai,Mechi,Jhapa,N.p.,Nayabazar,1,Urban,,,Community_aided,Community_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40070007,Bhanu Smriti Awasiya Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Bhanunagar,8,Rural,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40070009,Bidur Awasiya Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Coloni,5,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40070010,Modern Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Bhanunagar,8,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40070012,Dolma Memorial Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Bhanunagar,8,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40080001,Little Star Ebs,Eastern,Terai,Mechi,Jhapa,Budhabare,Jayapur,2,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40080002,Jayapur Ebs,Eastern,Terai,Mechi,Jhapa,Budhabare,Jayapur,2,Rural,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40080009,Tribhuwan Ma V,Eastern,Terai,Mechi,Jhapa,Budhabare,Hokse,3,Urban,Community_Managed,Community_Managed,Community_Managed,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40080011,Jyoti Ebs,Eastern,Terai,Mechi,Jhapa,Budhabare,Budhabare,9,Rural,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40080013,Buddha Adarsha Ma V,Eastern,Terai,Mechi,Jhapa,Budhabare,Budhabare,6,Rural,Community_Managed,Community_Managed,Community_Managed,Community_Managed,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40080014,Happy Land Ebs,Eastern,Terai,Mechi,Jhapa,Budhabare,Hokse,1,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40080016,Evergreen Ebs,Eastern,Terai,Mechi,Jhapa,Budhabare,Dandagaun,8,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40090006,Phulbari Uchha Uchha Ma V,Eastern,Terai,Mechi,Jhapa,Chakchaki,Phoolbari,6,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40090018,South Horizon Ebs,Eastern,Terai,Mechi,Jhapa,Chakchaki,Budhabare,7,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40100002,Gyan Jyoti Ebs,Eastern,Terai,Mechi,Jhapa,Chandragadhi,Dhanushmode,6,Rural,,,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40100007,Mary Gold Ebs,Eastern,Terai,Mechi,Jhapa,Chandragadhi,Chandragadi,7,Rural,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40100011,Pahantu Jana Jyoti Ma V,Eastern,Terai,Mechi,Jhapa,Chandragadhi,Chandragadhi,3,Rural,Community_Managed,Community_Managed,Community_Managed,Community_Managed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40100013,Birendra Uchha Uchha Ma V,Eastern,Terai,Mechi,Jhapa,Chandragadhi,Chowk,8,Rural,Community_aided,Community_aided,Community_aided,Community_aided,Community_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40100021,Himalaya Ebs,Eastern,Terai,Mechi,Jhapa,Chandragadhi,Bisamtole,8,Rural,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40110004,Mohan Maya Ma V,Eastern,Terai,Mechi,Jhapa,Charpane,Chowk,3,Urban,Community_Managed,Community_Managed,Community_Managed,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40110005,Sangbed Sanskrit Ma V,Eastern,Terai,Mechi,Jhapa,Charpane,Bibekashram,3,Rural,,Community_Managed,Community_Managed,Community_Managed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40110006,Bir Amar Sing Ma V,Eastern,Terai,Mechi,Jhapa,Charpane,Baldagi,4,Rural,Community_Managed,Community_Managed,Community_Managed,Community_Managed,Community_Managed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120001,Eastern Star Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Buddhamarga,12,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120004,Mechi Awasiya Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Cheu,10,Rural,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120006,Bright Star Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Campusmode,14,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120007,Everest Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Biran,13,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120008,Purbanchal Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Adiyamahal,9,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120009,Siddhartha Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Tole,12,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120010,Suryodaya Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Damak,11,Urban,Institutional_Private_Trust,Institutional_Private_Trust,Institutional_Private_Trust,Institutional_Private_Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120011,Jhapa Model Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Tole,13,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120012,Narendra Memorial Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Chowk,11,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
